"Forgot Your Password?","Passwort vergessen?"
"Sign In","Einloggen"
"Further as a guest","Weiter als Gast"
"New here ?","Neu hier ?"
"Complete your purchase without registration. At the end of the process you can optionally create an account.","Schließen Sie Ihren Einkauf ohne Registrierung ab. Nach dem Kauf können Sie ein Benutzerkonto erstellen."
"Complete your purchase without registration.","Schließen Sie Ihren Einkauf ohne Registrierung ab."
"Logout and further as a guest","Abmelden und weiter als Gast"
"Logged in as:","Eingeloggt als:"
"Logged in", "Eingeloggt"
"Firstname *","Vorname *"
"Lastname *","Nachname *"
"Email Address *","E-Mail-Addresse *"
"Password *","Passwort *"
"Confirm Password *","Passwort bestätigen *"
"You must confirm your account. Please check your email for the confirmation link.","Sie müssen Ihr Konto bestätigen. Bitte überprüfen Sie Ihre E-Mail-Adresse für den Bestätigungslink"
